reg_no,score,course
2013/187656,38,ECE 574
2016/233283,40,ECE 574
2016/232911,42,ECE 574
2016/231380,62,ECE 574
2016/237930,56,ECE 574
2016/237221,70,ECE 574
2016/237909,62,ECE 574
2016/237932,43,ECE 574
2017/247311,53,ECE 574
2016/233279,64,ECE 574
2016/231373,73,ECE 574
2016/237224,44,ECE 574
2016/233284,61,ECE 574
2014/193383,41,ECE 574
2013/187476,XX,ECE 574
2016/231379,45,ECE 574
2016/237921,XX,ECE 574
2016/234025,52,ECE 574
2017/247324,XX,ECE 574
2017/247327,49,ECE 574
2016/232388,65,ECE 574
2015/203776,51,ECE 574
2016/231374,53,ECE 574
2016/237223,37,ECE 574
2016/234328,46,ECE 574
2017/247340,48,ECE 574
2016/232375,64,ECE 574
2016/232377,52,ECE 574
2016/233494,33,ECE 574
2016/235557,47,ECE 574
2016/232391,XX,ECE 574
2016/237916,55,ECE 574
2016/240723,52,ECE 574
2014/193739,43,ECE 574
2017/247407,33,ECE 574
2016/232387,45,ECE 574
2016/240727,40,ECE 574
2016/235554,41,ECE 574
2015/198344,41,ECE 574
2017/247409,46,ECE 574
2016/232379,50,ECE 574
2014/195946,XX,ECE 574
2016/240139,47,ECE 574
2014/195298,XX,ECE 574
2016/237923,52,ECE 574
2015/201779,45,ECE 574
2016/237373,39,ECE 574
2016/231377,61,ECE 574
2016/232376,42,ECE 574
2016/237227,58,ECE 574
2016/237225,47,ECE 574
2015/204629,46,ECE 574
2017/247464,46,ECE 574
2016/231371,55,ECE 574
2016/239190,44,ECE 574
2016/233282,57,ECE 574
2016/237914,81,ECE 574
2016/240149,36,ECE 574
2016/234350,46,ECE 574
2016/239197,37,ECE 574
2016/232913,57,ECE 574
2016/237228,55,ECE 574
2016/237919,61,ECE 574
2016/232374,62,ECE 574
2016/234345,40,ECE 574
2016/237222,35,ECE 574
2016/240725,57,ECE 574
2015/200149,35,ECE 574
2016/239193,45,ECE 574
2016/237906,40,ECE 574
2016/237908,36,ECE 574
2014/196432,XX,ECE 574
2016/233281,45,ECE 574
2016/234027,60,ECE 574
2016/237927,61,ECE 574
2015/197561,47,ECE 574
2015/197668,38,ECE 574
2016/237230,54,ECE 574
2014/192468,36,ECE 574
2016/233495,60,ECE 574
2012/181149,XX,ECE 574
2016/234316,53,ECE 574
2016/232393,XX,ECE 574
2014/197073,XX,ECE 574
2016/240146,38,ECE 574
2017/249768,54,ECE 574
2016/234327,60,ECE 574
2016/232385,84,ECE 574
2015/201782,XX,ECE 574
2016/239196,39,ECE 574
2015/198793,60,ECE 574
2011/177220,36,ECE 574
2016/234344,53,ECE 574
2016/231376,38,ECE 574
2016/232383,88,ECE 574
2017/247500,60,ECE 574
2016/232914,XX,ECE 574
2016/232382,40,ECE 574
2017/251987,49,ECE 574
2015/198342,49,ECE 574
2016/237237,36,ECE 574
2016/240141,52,ECE 574
2018/251737,XX,ECE 574
2014/194400,XX,ECE 574
2016/237904,41,ECE 574
2016/237929,45,ECE 574
2016/240147,53,ECE 574
2016/237910,XX,ECE 574
2016/233828,64,ECE 574
2016/232399,63,ECE 574
2017/247543,47,ECE 574
2013/188412,XX,ECE 574
2016/232384,82,ECE 574
2013/187430,XX,ECE 574
2016/237234,67,ECE 574
2016/237229,39,ECE 574
2016/237918,37,ECE 574
2016/239194,41,ECE 574
2016/236535,55,ECE 574
2016/235556,47,ECE 574
2016/237920,36,ECE 574
2016/231372,48,ECE 574
2016/237924,40,ECE 574
2016/240724,56,ECE 574
2016/237928,41,ECE 574
2015/197170,35,ECE 574
2016/231378,39,ECE 574
2016/240154,XX,ECE 574
2016/232989,59,ECE 574
2015/202925,41,ECE 574
2015/198796,45,ECE 574
2015/198517,XX,ECE 574
2016/233790,51,ECE 574
2015/198341,XX,ECE 574
2016/237238,38,ECE 574
2016/231381,63,ECE 574
2016/234326,39,ECE 574
2015/201778,XX,ECE 574
2016/231368,45,ECE 574
2016/237240,47,ECE 574
2016/233278,70,ECE 574
2016/231369,63,ECE 574
2016/239188,38,ECE 574
2015/197731,47,ECE 574
2015/197624,XX,ECE 574
2016/237922,XX,ECE 574
2016/237241,57,ECE 574
2017/247663,45,ECE 574
2016/231375,48,ECE 574
2013/187464,35,ECE 574
2016/234505,48,ECE 574
2016/239192,47,ECE 574
2016/231370,52,ECE 574
2016/237917,40,ECE 574
2016/232990,45,ECE 574
2015/198346,53,ECE 574
2016/232389,62,ECE 574
2016/232396,58,ECE 574
2013/187302,XX,ECE 574
2014/191764,43,ECE 574
2017/251985,XX,ECE 574
2016/242151,XX,ECE 574
2014/191746,XX,ECE 574
2014/165946,XX,ECE 574
2016/233283,40,ECE 524
2016/232911,32,ECE 524
2016/231380,51,ECE 524
2016/237930,53,ECE 524
2016/237221,66,ECE 524
2016/237909,52,ECE 524
2016/237932,42,ECE 524
 2017/247311,54,ECE 524
2016/233279,55,ECE 524
2016/231373,62,ECE 524
2016/233284,47,ECE 524
2016/237224,50,ECE 524
2016/231379,40,ECE 524
2016/234025,55,ECE 524
 2017/247327,34,ECE 524
2016/232388,78,ECE 524
2016/231374,40,ECE 524
2016/237223,40,ECE 524
2016/234328,46,ECE 524
 2017/247340,61,ECE 524
2016/232375,54,ECE 524
2016/232377,63,ECE 524
2016/233494,40,ECE 524
2016/235557,42,ECE 524
2016/237916,58,ECE 524
2016/240723,47,ECE 524
 2017/247407,40,ECE 524
2016/232387,50,ECE 524
 2016/240727,40,ECE 524
2016/235554,44,ECE 524
 2017/247409,48,ECE 524
 2016/232379,48,ECE 524
2016/237923,40,ECE 524
2016/240139,45,ECE 524
2016/237373,48,ECE 524
2016/231377,72,ECE 524
2016/232376,42,ECE 524
2016/237227,41,ECE 524
2016/237225,49,ECE 524
2015/204629,70,ECE 524
2017/247464,50,ECE 524
2016/231371,65,ECE 524
2016/239190,40,ECE 524
2016/233282,51,ECE 524
2016/237914,90,ECE 524
 2016/240149,40,ECE 524
2016/239197,34,ECE 524
2016/234350,40,ECE 524
2016/232913,56,ECE 524
2016/237228,40,ECE 524
2016/237919,40,ECE 524
2016/232374,51,ECE 524
2016/234345,30,ECE 524
2016/237222,41,ECE 524
2016/240725,40,ECE 524
2016/237906,40,ECE 524
2016/237908,34,ECE 524
2016/233281,70,ECE 524
2016/234027,69,ECE 524
2016/237927,49,ECE 524
2016/237230,54,ECE 524
2016/233495,53,ECE 524
2016/234316,42,ECE 524
2016/240146,41,ECE 524
2017/249768,51,ECE 524
2016/234327,57,ECE 524
2016/232385,82,ECE 524
2016/239196,38,ECE 524
2015/198793 ,87,ECE 524
2016/234344,55,ECE 524
2016/231376,32,ECE 524
2016/232383,74,ECE 524
 2017/247500,44,ECE 524
2016/232382,30,ECE 524
2017/251987,41,ECE 524
2016/237237,40,ECE 524
2016/240141 ,53,ECE 524
2016/237904,44,ECE 524
2016/237929,53,ECE 524
2016/240147,40,ECE 524
2016/233828,72,ECE 524
2016/232399,70,ECE 524
2017/247543,40,ECE 524
2016/232384,76,ECE 524
2016/237234,74,ECE 524
2016/237229,40,ECE 524
2016/239194,40,ECE 524
2016/235556,42,ECE 524
2016/236535,73,ECE 524
2016/231372,48,ECE 524
2016/237920,34,ECE 524
2016/237924,35,ECE 524
2016/240724,65,ECE 524
2016/237928,34,ECE 524
2016/231378,44,ECE 524
2016/232989,55,ECE 524
2016/223790,40,ECE 524
2016/237238,41,ECE 524
2016/231381,63,ECE 524
2016/234326,46,ECE 524
2016/231368,41,ECE 524
2016/237240,48,ECE 524
2016/233278,46,ECE 524
2016/231369,45,ECE 524
2016/239188,41,ECE 524
2015/197731,32,ECE 524
2016/237241,42,ECE 524
2016/234505,63,ECE 524
2016/239192,41,ECE 524
 2017/247663,41,ECE 524
2016/231375,59,ECE 524
2016/231370,41,ECE 524
2016/237917,40,ECE 524
2016/232990,41,ECE 524
2016/232389,66,ECE 524
2016/232396,61,ECE 524
2013/187464,41,ECE 524
2015/198346,54,ECE 524
2015/198517,42,ECE 524
2016/239193,43,ECE 524
2012/181243,41,ECE 524
2014/195946,48,ECE 524
2015/197561,58,ECE 524
2014/191764,43,ECE 524
2015/200149,42,ECE 524
2014/193739,54,ECE 524
2014/191782,48,ECE 524
2015/201778,55,ECE 524
2015/202925,47,ECE 524
